"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|DE-LU","Generation - Solar  [MW] Intraday / BZN|DE-LU","Generation - Solar  [MW] Current / BZN|DE-LU","Generation - Wind Offshore  [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Offshore  [MW] Intraday / BZN|DE-LU","Generation - Wind Offshore  [MW] Current / BZN|DE-LU","Generation - Wind Onshore  [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Onshore  [MW] Intraday / BZN|DE-LU","Generation - Wind Onshore  [MW] Current / BZN|DE-LU"
"01.01.2023 00:00 - 01.01.2023 00:15","0","0","","3469","2435","","34784","31243",""
"01.01.2023 00:15 - 01.01.2023 00:30","0","0","","3477","2361","","35870","30116",""
"01.01.2023 00:30 - 01.01.2023 00:45","0","0","","3481","2388","","35785","29250",""
"01.01.2023 00:45 - 01.01.2023 01:00","0","0","","3486","2211","","35659","29635",""
"01.01.2023 01:00 - 01.01.2023 01:15","0","0","","3382","2141","","35545","28852",""
"01.01.2023 01:15 - 01.01.2023 01:30","0","0","","3387","2347","","35433","29651",""
"01.01.2023 01:30 - 01.01.2023 01:45","0","0","","3395","2478","","35365","29492",""
"01.01.2023 01:45 - 01.01.2023 02:00","0","0","","3397","2792","","35319","30594",""
"01.01.2023 02:00 - 01.01.2023 02:15","0","0","","3403","2924","","35233","31020",""
"01.01.2023 02:15 - 01.01.2023 02:30","0","0","","3380","3049","","35180","29717",""
"01.01.2023 02:30 - 01.01.2023 02:45","0","0","","3393","2850","","35120","29597",""
"01.01.2023 02:45 - 01.01.2023 03:00","0","0","","3406","2912","","35054","30148",""
"01.01.2023 03:00 - 01.01.2023 03:15","0","0","","3421","2962","","34976","30311",""
"01.01.2023 03:15 - 01.01.2023 03:30","0","0","","3398","3005","","34374","29512",""
"01.01.2023 03:30 - 01.01.2023 03:45","0","0","","3407","3036","","34276","28651",""
"01.01.2023 03:45 - 01.01.2023 04:00","0","0","","3415","3019","","34170","28757",""
"01.01.2023 04:00 - 01.01.2023 04:15","0","0","","3421","2998","","34065","27783",""
"01.01.2023 04:15 - 01.01.2023 04:30","0","0","","3429","2824","","33961","27806",""
"01.01.2023 04:30 - 01.01.2023 04:45","0","0","","3433","2861","","33853","27859",""
"01.01.2023 04:45 - 01.01.2023 05:00","0","0","","3442","2750","","33742","28114",""
"01.01.2023 05:00 - 01.01.2023 05:15","0","0","","3445","2913","","33618","28407",""
"01.01.2023 05:15 - 01.01.2023 05:30","0","0","","3452","2867","","33462","28057",""
"01.01.2023 05:30 - 01.01.2023 05:45","0","0","","3458","2952","","33285","28268",""
"01.01.2023 05:45 - 01.01.2023 06:00","0","0","","3462","2866","","33086","28111",""
"01.01.2023 06:00 - 01.01.2023 06:15","0","0","","3462","2786","","33488","29039",""
"01.01.2023 06:15 - 01.01.2023 06:30","0","0","","3463","2798","","33196","27575",""
