date,solar_forecastAT,windonshore_forecastAT,solar_forecastBE,windoffshore_forecastBE,windonshore_forecastBE,solar_forecastGER,windoffshore_forecastGER,windonshore_forecastGER,solar_forecastNL,windoffshore_forecastNL,windonshore_forecastNL
2019-01-01 00:00:00,0,487.0,0,511.0,237.0,0.0,5069.0,18879.75,0.0,593.0,1680.75
2019-01-01 01:00:00,0,398.0,0,557.0,267.0,0.0,5042.25,20626.5,0.0,602.25,1773.5
2019-01-01 02:00:00,0,338.0,0,599.0,299.0,0.0,5028.5,22355.5,0.0,621.75,1892.25
2019-01-01 03:00:00,0,309.0,0,659.0,330.0,0.0,4977.75,24032.5,0.0,645.25,2003.0
2019-01-01 04:00:00,0,320.0,0,688.0,354.0,0.0,4907.25,25452.0,0.0,659.75,2051.75
2019-01-01 05:00:00,0,368.0,0,694.0,361.0,0.0,4882.75,26526.5,0.0,677.25,2093.25
2019-01-01 06:00:00,0,440.0,0,734.0,365.0,0.0,4876.25,28058.5,0.0,686.5,2096.5
2019-01-01 07:00:00,8,525.0,0,766.0,374.0,0.0,4893.25,28845.0,0.0,681.5,2035.75
2019-01-01 08:00:00,22,634.0,1,768.0,388.0,79.25,4907.75,29267.0,12.0,664.75,1937.25
2019-01-01 09:00:00,52,746.0,24,751.0,403.0,655.25,4922.5,29854.0,57.0,632.25,1851.5
2019-01-01 10:00:00,94,845.0,72,715.0,428.0,1460.75,4923.5,30461.5,146.25,629.75,1847.5
2019-01-01 11:00:00,142,952.0,113,711.0,461.0,2027.25,4887.0,31070.75,288.75,645.25,1982.75
2019-01-01 12:00:00,163,1079.0,133,751.0,483.0,2212.5,4581.25,31634.25,448.75,676.5,2190.25
2019-01-01 13:00:00,156,1220.0,137,775.0,480.0,1915.75,4416.75,32344.0,492.75,733.5,2374.75
2019-01-01 14:00:00,112,1386.0,113,799.0,476.0,1184.25,4386.75,33018.5,334.25,772.75,2542.5
2019-01-01 15:00:00,51,1596.0,55,853.0,490.0,367.25,4388.75,33692.5,116.0,798.75,2673.75
2019-01-01 16:00:00,14,1826.0,7,910.0,513.0,19.25,4334.75,34378.25,12.5,812.0,2727.25
2019-01-01 17:00:00,4,2050.0,0,964.0,536.0,0.0,4224.75,35066.0,0.0,822.0,2787.5
2019-01-01 18:00:00,4,2224.0,0,1010.0,553.0,0.0,4086.25,35777.5,0.0,823.5,2843.75
2019-01-01 19:00:00,0,2317.0,0,1034.0,566.0,0.0,4010.5,36267.75,0.0,825.0,2863.75
2019-01-01 20:00:00,0,2359.0,0,1037.0,580.0,0.0,3924.75,36429.75,0.0,832.5,2853.75
2019-01-01 21:00:00,0,2390.0,0,1028.0,586.0,0.0,3859.5,36564.75,0.0,828.25,2845.5
2019-01-01 22:00:00,0,2446.0,0,1016.0,585.0,0.0,3921.5,35906.5,0.0,822.25,2830.75
2019-01-01 23:00:00,0,2533.0,0,1011.0,584.0,0.0,4000.75,35527.25,0.0,829.75,2815.0
2019-01-02 00:00:00,0,2706.0,0,967.0,566.0,0.0,4185.75,34192.25,0.0,811.75,2746.25
2019-01-02 01:00:00,0,2766.0,0,973.0,561.0,0.0,4289.75,33957.0,0.0,811.0,2737.75
2019-01-02 02:00:00,0,2806.0,0,985.0,554.0,0.0,4408.25,33658.75,0.0,811.25,2733.5
2019-01-02 03:00:00,0,2834.0,0,995.0,554.0,0.0,4563.75,33062.25,0.0,812.0,2715.75
2019-01-02 04:00:00,0,2866.0,0,1004.0,564.0,0.0,4711.0,32396.5,0.0,812.0,2672.75
2019-01-02 05:00:00,0,2894.0,0,1011.0,573.0,0.0,4822.0,31750.5,0.0,810.25,2600.0
2019-01-02 06:00:00,0,2878.0,0,1017.0,575.0,0.0,4880.5,31599.25,0.0,805.25,2457.5
2019-01-02 07:00:00,10,2820.0,0,1017.0,573.0,0.0,4884.75,30650.75,0.25,796.5,2253.75
2019-01-02 08:00:00,26,2751.0,1,1001.0,557.0,139.5,4868.5,29324.5,152.75,767.0,2010.25
2019-01-02 09:00:00,53,2710.0,71,968.0,530.0,1499.75,4876.75,28210.5,537.0,730.5,1754.75
2019-01-02 10:00:00,95,2712.0,277,928.0,512.0,3934.25,4824.75,27793.5,799.75,686.25,1581.0
2019-01-02 11:00:00,145,2765.0,402,869.0,495.0,5856.0,4751.5,27971.5,888.0,639.25,1470.5
2019-01-02 12:00:00,171,2822.0,466,800.0,475.0,6487.5,4315.75,27713.0,861.75,593.75,1397.0
2019-01-02 13:00:00,170,2853.0,426,745.0,447.0,5687.0,3959.0,26844.75,677.25,581.25,1262.25
2019-01-02 14:00:00,119,2854.0,325,684.0,399.0,3676.75,3716.75,24910.25,392.25,552.75,1093.0
2019-01-02 15:00:00,56,2839.0,189,616.0,348.0,1241.5,3535.0,22281.0,133.0,532.0,982.0
