date,residual_generationAT,residual_generationBE,residual_generationGER,residual_generationNL
2019-01-01 00:00:00,4398.0,748,23948.75,2273.75
2019-01-01 01:00:00,4103.0,824,25668.75,2375.75
2019-01-01 02:00:00,3795.0,898,27384.0,2514.0
2019-01-01 03:00:00,3777.0,989,29010.25,2648.25
2019-01-01 04:00:00,3654.0,1042,30359.25,2711.5
2019-01-01 05:00:00,3477.0,1055,31409.25,2770.5
2019-01-01 06:00:00,3537.0,1099,32934.75,2783.0
2019-01-01 07:00:00,3742.0,1140,33738.25,2717.25
2019-01-01 08:00:00,3899.0,1157,34254.0,2614.0
2019-01-01 09:00:00,3847.0,1178,35431.75,2540.75
2019-01-01 10:00:00,3889.0,1215,36845.75,2623.5
2019-01-01 11:00:00,3878.0,1285,37985.0,2916.75
2019-01-01 12:00:00,3891.0,1367,38428.0,3315.5
2019-01-01 13:00:00,3873.0,1392,38676.5,3601.0
2019-01-01 14:00:00,3963.0,1388,38589.5,3649.5
2019-01-01 15:00:00,3980.0,1398,38448.5,3588.5
2019-01-01 16:00:00,4063.0,1430,38732.25,3551.75
2019-01-01 17:00:00,4296.0,1500,39290.75,3609.5
2019-01-01 18:00:00,4371.0,1563,39863.75,3667.25
2019-01-01 19:00:00,4149.0,1600,40278.25,3688.75
2019-01-01 20:00:00,3982.0,1617,40354.5,3686.25
2019-01-01 21:00:00,3687.0,1614,40424.25,3673.75
2019-01-01 22:00:00,3541.0,1601,39828.0,3653.0
2019-01-01 23:00:00,3512.0,1595,39528.0,3644.75
2019-01-02 00:00:00,3386.0,1533,38378.0,3558.0
2019-01-02 01:00:00,3172.0,1534,38246.75,3548.75
2019-01-02 02:00:00,3093.0,1539,38067.0,3544.75
2019-01-02 03:00:00,3065.0,1549,37626.0,3527.75
2019-01-02 04:00:00,3099.0,1568,37107.5,3484.75
2019-01-02 05:00:00,3589.0,1584,36572.5,3410.25
2019-01-02 06:00:00,4032.0,1592,36479.75,3262.75
2019-01-02 07:00:00,4696.0,1590,35535.5,3050.5
2019-01-02 08:00:00,5104.0,1559,34332.5,2930.0
2019-01-02 09:00:00,5241.0,1569,34587.0,3022.25
2019-01-02 10:00:00,5081.0,1717,36552.5,3067.0
2019-01-02 11:00:00,5002.0,1766,38579.0,2997.75
2019-01-02 12:00:00,4826.0,1741,38516.25,2852.5
2019-01-02 13:00:00,4942.0,1618,36490.75,2520.75
2019-01-02 14:00:00,5009.0,1408,32303.75,2038.0
2019-01-02 15:00:00,5168.0,1153,27057.5,1647.0
2019-01-02 16:00:00,5394.0,896,23605.0,1445.25
2019-01-02 17:00:00,5877.0,782,22060.25,1359.5
2019-01-02 18:00:00,5864.0,715,20905.5,1269.5
2019-01-02 19:00:00,5661.0,660,19759.25,1195.5
2019-01-02 20:00:00,5427.0,607,18529.0,1162.75
2019-01-02 21:00:00,4885.0,545,17408.75,1136.0
2019-01-02 22:00:00,4744.0,484,16431.0,1123.5
2019-01-02 23:00:00,4454.0,439,15982.75,1065.75
2019-01-03 00:00:00,4798.0,448,15336.0,904.0
2019-01-03 01:00:00,4654.0,447,15278.5,852.25
2019-01-03 02:00:00,4627.0,420,15225.75,825.25
2019-01-03 03:00:00,4540.0,398,15377.0,833.5
2019-01-03 04:00:00,4497.0,399,15753.75,830.25
2019-01-03 05:00:00,4633.0,401,15977.0,779.0
2019-01-03 06:00:00,4993.0,414,16191.75,752.25
2019-01-03 07:00:00,6536.0,428,16132.0,792.5
2019-01-03 08:00:00,7026.0,417,16005.0,853.0
2019-01-03 09:00:00,6062.0,451,16983.0,900.25
2019-01-03 10:00:00,6002.0,549,18037.75,918.25
2019-01-03 11:00:00,6718.0,581,17993.0,911.75
2019-01-03 12:00:00,6598.0,576,17259.75,888.0
2019-01-03 13:00:00,6796.0,552,15762.0,827.0
2019-01-03 14:00:00,6640.0,497,13563.5,718.0
2019-01-03 15:00:00,6963.0,400,11492.75,620.5
2019-01-03 16:00:00,7261.0,318,10880.0,633.0
2019-01-03 17:00:00,8373.0,329,11231.75,651.5
2019-01-03 18:00:00,7624.0,349,11532.25,644.0
2019-01-03 19:00:00,7518.0,349,11525.0,628.25
2019-01-03 20:00:00,7053.0,326,11130.5,602.0
2019-01-03 21:00:00,5703.0,288,10600.25,586.5
2019-01-03 22:00:00,5631.0,243,10068.75,564.5
2019-01-03 23:00:00,5547.0,208,9884.0,518.25
2019-01-04 00:00:00,5045.0,174,9011.75,439.25
2019-01-04 01:00:00,4894.0,169,9650.25,612.5
2019-01-04 02:00:00,4792.0,178,10938.75,820.5
