date,day_of_week,hour,industrial_demand
2019-01-01 00:00:00,1,0,1039.1042783312234
2019-01-01 01:00:00,1,1,1031.9020556652094
2019-01-01 02:00:00,1,2,1012.1456990808606
2019-01-01 03:00:00,1,3,1036.5591614112263
2019-01-01 04:00:00,1,4,1023.2387383713274
2019-01-01 05:00:00,1,5,1006.5224117452866
2019-01-01 06:00:00,1,6,1016.8525614093194
2019-01-01 07:00:00,1,7,1005.0726149103184
2019-01-01 08:00:00,1,8,1548.8048879493126
2019-01-01 09:00:00,1,9,1530.5880677155478
2019-01-01 10:00:00,1,10,1523.0924958364
2019-01-01 11:00:00,1,11,1548.6304493062794
2019-01-01 12:00:00,1,12,1361.25167142055
2019-01-01 13:00:00,1,13,1561.0413488545696
2019-01-01 14:00:00,1,14,1570.9302593552693
2019-01-01 15:00:00,1,15,1537.101279984003
2019-01-01 16:00:00,1,16,1552.0593480521234
2019-01-01 17:00:00,1,17,1040.8139287701965
2019-01-01 18:00:00,1,18,1011.9611465318304
2019-01-01 19:00:00,1,19,1031.5229945173803
2019-01-01 20:00:00,1,20,1015.4323209886077
2019-01-01 21:00:00,1,21,1019.5383793655012
2019-01-01 22:00:00,1,22,1039.5104291558848
2019-01-01 23:00:00,1,23,1045.0185781268738
2019-01-02 00:00:00,2,0,1026.992114683239
2019-01-02 01:00:00,2,1,1000.9798531160666
2019-01-02 02:00:00,2,2,1024.9816379606418
2019-01-02 03:00:00,2,3,1031.569680254192
2019-01-02 04:00:00,2,4,1028.6189935627017
2019-01-02 05:00:00,2,5,1028.5173454553192
2019-01-02 06:00:00,2,6,1049.6179927413095
2019-01-02 07:00:00,2,7,1042.7059775800135
2019-01-02 08:00:00,2,8,1504.7030832528733
2019-01-02 09:00:00,2,9,1513.1255895205181
2019-01-02 10:00:00,2,10,1517.3722618875095
2019-01-02 11:00:00,2,11,1550.9636166823007
2019-01-02 12:00:00,2,12,1353.7681383511783
2019-01-02 13:00:00,2,13,1528.3151140188909
2019-01-02 14:00:00,2,14,1523.7332709011184
2019-01-02 15:00:00,2,15,1553.096681203504
2019-01-02 16:00:00,2,16,1529.8819843410172
2019-01-02 17:00:00,2,17,1034.7745072665555
2019-01-02 18:00:00,2,18,1029.095221837567
2019-01-02 19:00:00,2,19,1004.8121943761764
2019-01-02 20:00:00,2,20,1043.2126059754826
2019-01-02 21:00:00,2,21,1013.9911045369843
2019-01-02 22:00:00,2,22,1015.2551984037586
2019-01-02 23:00:00,2,23,1030.2166866132927
2019-01-03 00:00:00,3,0,1038.8777351384877
2019-01-03 01:00:00,3,1,1003.0579320077782
2019-01-03 02:00:00,3,2,1008.7550418065182
2019-01-03 03:00:00,3,3,1012.4908217438383
2019-01-03 04:00:00,3,4,1032.1676976753154
2019-01-03 05:00:00,3,5,1025.1240214754168
2019-01-03 06:00:00,3,6,1005.7823678062211
2019-01-03 07:00:00,3,7,1049.4183275309738
2019-01-03 08:00:00,3,8,1552.5102861381322
2019-01-03 09:00:00,3,9,1522.3998808536983
2019-01-03 10:00:00,3,10,1543.03158534244
2019-01-03 11:00:00,3,11,1513.332777004803
2019-01-03 12:00:00,3,12,1367.613982844612
2019-01-03 13:00:00,3,13,1521.9261068426335
2019-01-03 14:00:00,3,14,1566.0861924956173
2019-01-03 15:00:00,3,15,1501.577313697712
2019-01-03 16:00:00,3,16,1529.0707331386
2019-01-03 17:00:00,3,17,1006.5177178762658
2019-01-03 18:00:00,3,18,1020.7458555794171
2019-01-03 19:00:00,3,19,1015.4223561111762
2019-01-03 20:00:00,3,20,1000.0152023336718
2019-01-03 21:00:00,3,21,1009.9171732401043
2019-01-03 22:00:00,3,22,1015.0149189582858
2019-01-03 23:00:00,3,23,1036.3129843281945
2019-01-04 00:00:00,4,0,1044.133514399929
2019-01-04 01:00:00,4,1,1006.9078148623751
2019-01-04 02:00:00,4,2,1043.7441912527568
2019-01-04 03:00:00,4,3,1038.651911575282
2019-01-04 04:00:00,4,4,1040.006001528947
2019-01-04 05:00:00,4,5,1015.0637592604035
2019-01-04 06:00:00,4,6,1041.9854283337918
2019-01-04 07:00:00,4,7,1036.948746975297
2019-01-04 08:00:00,4,8,1545.0019548385071
2019-01-04 09:00:00,4,9,1554.138311826891
2019-01-04 10:00:00,4,10,1526.9889707117088
2019-01-04 11:00:00,4,11,1557.5673293262046
2019-01-04 12:00:00,4,12,1390.835557504651
2019-01-04 13:00:00,4,13,1515.7815901496278
2019-01-04 14:00:00,4,14,1542.7348407688305
2019-01-04 15:00:00,4,15,1570.432536766359
2019-01-04 16:00:00,4,16,1504.4856571189482
2019-01-04 17:00:00,4,17,1024.7388163577855
2019-01-04 18:00:00,4,18,1015.4472607148796
2019-01-04 19:00:00,4,19,1002.4026828116216
2019-01-04 20:00:00,4,20,1003.7590105556737
2019-01-04 21:00:00,4,21,1029.6851937590468
2019-01-04 22:00:00,4,22,1015.1973938869132
2019-01-04 23:00:00,4,23,1015.0999162560153
2019-01-05 00:00:00,5,0,1045.9845763223366
2019-01-05 01:00:00,5,1,1012.2180623369484
2019-01-05 02:00:00,5,2,1035.0749577662832
2019-01-05 03:00:00,5,3,1042.1425649263085
2019-01-05 04:00:00,5,4,1039.2817050378103
2019-01-05 05:00:00,5,5,1036.40096525272
2019-01-05 06:00:00,5,6,1039.475537162188
2019-01-05 07:00:00,5,7,1006.4121548729529
2019-01-05 08:00:00,5,8,1045.8427858951625
2019-01-05 09:00:00,5,9,1025.2259744267478
2019-01-05 10:00:00,5,10,1041.5380706087424
2019-01-05 11:00:00,5,11,1033.358104462659
2019-01-05 12:00:00,5,12,1019.8580667110011
2019-01-05 13:00:00,5,13,1027.6674196946265
2019-01-05 14:00:00,5,14,1010.062112045863
2019-01-05 15:00:00,5,15,1005.0180112610606
2019-01-05 16:00:00,5,16,1010.5849420212272
2019-01-05 17:00:00,5,17,1018.0168548249723
2019-01-05 18:00:00,5,18,1010.2065016762499
2019-01-05 19:00:00,5,19,1021.9922361334869
2019-01-05 20:00:00,5,20,1001.1684060633794
2019-01-05 21:00:00,5,21,1036.9794120564907
2019-01-05 22:00:00,5,22,1045.5318644144218
2019-01-05 23:00:00,5,23,1024.419581200916
2019-01-06 00:00:00,6,0,1038.4911366806055
2019-01-06 01:00:00,6,1,1043.2453704865204
2019-01-06 02:00:00,6,2,1033.8589014028842
2019-01-06 03:00:00,6,3,1014.8745483191684
2019-01-06 04:00:00,6,4,1037.2483786039263
2019-01-06 05:00:00,6,5,1022.3318926403203
2019-01-06 06:00:00,6,6,1030.7418159905874
2019-01-06 07:00:00,6,7,1017.9478376982545
2019-01-06 08:00:00,6,8,1047.2393806414516
2019-01-06 09:00:00,6,9,1035.1374739636808
2019-01-06 10:00:00,6,10,1022.5250583486915
2019-01-06 11:00:00,6,11,1006.9666985945325
2019-01-06 12:00:00,6,12,1040.7946179601108
2019-01-06 13:00:00,6,13,1017.849134586723
2019-01-06 14:00:00,6,14,1020.568371419538
2019-01-06 15:00:00,6,15,1010.6452078568933
2019-01-06 16:00:00,6,16,1018.9476342349485
2019-01-06 17:00:00,6,17,1038.9016391933
2019-01-06 18:00:00,6,18,1049.8289388540093
2019-01-06 19:00:00,6,19,1000.3660938714936
2019-01-06 20:00:00,6,20,1020.7909065543739
2019-01-06 21:00:00,6,21,1013.1110911790151
2019-01-06 22:00:00,6,22,1035.7766534358325
2019-01-06 23:00:00,6,23,1018.0794936452523
2019-01-07 00:00:00,0,0,1036.3019302937919
2019-01-07 01:00:00,0,1,1038.4995140284116
2019-01-07 02:00:00,0,2,1030.6236125055796
2019-01-07 03:00:00,0,3,1017.9756112285979
2019-01-07 04:00:00,0,4,1033.8880264314798
2019-01-07 05:00:00,0,5,1010.2558346485432
2019-01-07 06:00:00,0,6,1028.6574093804184
2019-01-07 07:00:00,0,7,1044.857902087523
2019-01-07 08:00:00,0,8,1546.2708087006145
2019-01-07 09:00:00,0,9,1544.8453227172042
2019-01-07 10:00:00,0,10,1528.4203125168776
2019-01-07 11:00:00,0,11,1543.0425359711496
2019-01-07 12:00:00,0,12,1407.205914078971
2019-01-07 13:00:00,0,13,1559.4401671661612
2019-01-07 14:00:00,0,14,1513.7142726051406
2019-01-07 15:00:00,0,15,1522.4978694129638
2019-01-07 16:00:00,0,16,1554.5145675042804
2019-01-07 17:00:00,0,17,1042.8894608811866
2019-01-07 18:00:00,0,18,1038.838299520239
2019-01-07 19:00:00,0,19,1049.08087267134
2019-01-07 20:00:00,0,20,1031.5756964068526
2019-01-07 21:00:00,0,21,1029.1437295865537
2019-01-07 22:00:00,0,22,1000.9181405129244
2019-01-07 23:00:00,0,23,1000.7815380760683
2019-01-08 00:00:00,1,0,1012.7678296712796
2019-01-08 01:00:00,1,1,1009.1878036413705
2019-01-08 02:00:00,1,2,1027.2090812672895
2019-01-08 03:00:00,1,3,1032.5146923982602
2019-01-08 04:00:00,1,4,1011.3347651009142
2019-01-08 05:00:00,1,5,1029.065800993342
2019-01-08 06:00:00,1,6,1048.6633715682788
2019-01-08 07:00:00,1,7,1046.4758684287267
2019-01-08 08:00:00,1,8,1503.9190245992709
2019-01-08 09:00:00,1,9,1531.4518586294034
2019-01-08 10:00:00,1,10,1567.6624714769725
2019-01-08 11:00:00,1,11,1555.3770224267694
2019-01-08 12:00:00,1,12,1355.2034631022168
2019-01-08 13:00:00,1,13,1505.7015906434826
2019-01-08 14:00:00,1,14,1508.498532559233
2019-01-08 15:00:00,1,15,1542.7510666375954
2019-01-08 16:00:00,1,16,1545.115260575725
2019-01-08 17:00:00,1,17,1024.4829527889174
2019-01-08 18:00:00,1,18,1006.5298830388313
