date,load_AT,load_BE,load_FRA,load_GER,load_NL
2019-01-01 00:00:00,5949,8993.5,63450,43213.25,12390.75
2019-01-01 01:00:00,5641,8561.75,60800,41275.75,11810
2019-01-01 02:00:00,5511,8180.25,59950,40187.5,11410.5
2019-01-01 03:00:00,5343,7869.25,56400,39909,11309
2019-01-01 04:00:00,5383,7664.5,53550,40258,11420.25
2019-01-01 05:00:00,5535,7627.5,52200,40549,11881.25
2019-01-01 06:00:00,5719,7637.75,52150,40440.25,13031.5
2019-01-01 07:00:00,6197,7528.25,52200,42743.5,14994.75
2019-01-01 08:00:00,6598,7641.5,52050,45861,16635.25
2019-01-01 09:00:00,6957,7859,52200,48792,17154.5
2019-01-01 10:00:00,7184,8205.5,54250,50845.5,17062.5
2019-01-01 11:00:00,7277,8514.25,56350,53114.25,16930
2019-01-01 12:00:00,7105,8724,58800,52910.75,16715.75
2019-01-01 13:00:00,6904,8735.25,59400,50752.5,15521.25
2019-01-01 14:00:00,6797,8638,56550,49311,16830.25
2019-01-01 15:00:00,6836,8622.5,53900,49233.75,17128
2019-01-01 16:00:00,7155,8774.75,53650,50872,17373.75
2019-01-01 17:00:00,7483,9244.5,56650,53857.5,17958.25
2019-01-01 18:00:00,7516,9362.5,61150,54770,16991.5
2019-01-01 19:00:00,7257,9245.5,63200,53436,16288.5
2019-01-01 20:00:00,6955,9051.25,62600,50873.5,15655.75
2019-01-01 21:00:00,6593,8905.75,60450,49294.75,14886
2019-01-01 22:00:00,6659,9195.75,59500,48485.5,14031.25
2019-01-01 23:00:00,6268,9268,62950,45318.75,13121
2019-01-02 00:00:00,6135,8822.25,60600,42466.75,12513.5
2019-01-02 01:00:00,5864,8797.75,58000,41189.25,12033.25
2019-01-02 02:00:00,5757,8529.5,57400,40431,11641.75
2019-01-02 03:00:00,5644,8465.75,55250,40779.75,11547.25
2019-01-02 04:00:00,5800,8628.5,54700,42270.5,11587.75
2019-01-02 05:00:00,6359,9025,56600,45672.25,11985.5
2019-01-02 06:00:00,7171,9912.75,60450,53071.5,13315.25
2019-01-02 07:00:00,7985,10752.75,65000,58398,15301.25
2019-01-02 08:00:00,8366,11488,69050,60582.75,16936.5
2019-01-02 09:00:00,8563,11746.25,70900,60931.5,17502.75
2019-01-02 10:00:00,8674,11778.5,72600,62214.25,17726
2019-01-02 11:00:00,8704,11853,73150,63263.75,17715
2019-01-02 12:00:00,8581,11321.25,74050,63137.25,17572
2019-01-02 13:00:00,8505,11172,73800,62527.5,17589
2019-01-02 14:00:00,8446,11054.5,71600,61100.75,17676.75
2019-01-02 15:00:00,8499,11094,69250,60835.75,17778.75
2019-01-02 16:00:00,8801,11221,68450,61779.5,18002.25
2019-01-02 17:00:00,9083,11857,71350,63372,18541.5
2019-01-02 18:00:00,8922,11907,75400,63479.75,17427
2019-01-02 19:00:00,8443,11593.75,76950,62322.75,16670.75
2019-01-02 20:00:00,7894,10763.75,73500,58394.5,15998.75
2019-01-02 21:00:00,7344,10208.5,69650,55623,15256.25
2019-01-02 22:00:00,7233,10358.25,68150,52899.25,14272
2019-01-02 23:00:00,6734,10350.75,70750,48577.5,13390
2019-01-03 00:00:00,6135,10056.25,66850,47862.75,12756.5
2019-01-03 01:00:00,5864,9450.75,63850,46301.5,12312
2019-01-03 02:00:00,5757,9092.25,62750,45666.5,11849.75
2019-01-03 03:00:00,5644,8765,60150,45873.25,11674.75
2019-01-03 04:00:00,5800,8819.5,59000,47019,11761.25
