,load_GER,price_GER,solar_forecastGER,windoffshore_forecastGER,windonshore_forecastGER,date,industrial_demand,year,month,day,hour,weekday
0,43213.25,28.32,0.0,5069.0,18879.75,2019-01-01 00:00:00,1039.1042783312234,2019,1,1,0,1
1,41275.75,10.07,0.0,5042.25,20626.5,2019-01-01 01:00:00,1031.9020556652094,2019,1,1,1,1
2,40187.5,-4.08,0.0,5028.5,22355.5,2019-01-01 02:00:00,1012.1456990808606,2019,1,1,2,1
3,39909.0,-9.91,0.0,4977.75,24032.5,2019-01-01 03:00:00,1036.5591614112263,2019,1,1,3,1
4,40258.0,-7.41,0.0,4907.25,25452.0,2019-01-01 04:00:00,1023.2387383713274,2019,1,1,4,1
5,40549.0,-12.55,0.0,4882.75,26526.5,2019-01-01 05:00:00,1006.5224117452866,2019,1,1,5,1
6,40440.25,-17.25,0.0,4876.25,28058.5,2019-01-01 06:00:00,1016.8525614093194,2019,1,1,6,1
7,42743.5,-15.07,0.0,4893.25,28845.0,2019-01-01 07:00:00,1005.0726149103184,2019,1,1,7,1
8,45861.0,-4.93,79.25,4907.75,29267.0,2019-01-01 08:00:00,1548.8048879493126,2019,1,1,8,1
9,48792.0,-6.33,655.25,4922.5,29854.0,2019-01-01 09:00:00,1530.5880677155478,2019,1,1,9,1
10,50845.5,-4.93,1460.75,4923.5,30461.5,2019-01-01 10:00:00,1523.0924958364,2019,1,1,10,1
11,53114.25,0.45,2027.25,4887.0,31070.75,2019-01-01 11:00:00,1548.6304493062794,2019,1,1,11,1
12,52910.75,0.12,2212.5,4581.25,31634.25,2019-01-01 12:00:00,1361.25167142055,2019,1,1,12,1
13,50752.5,-0.02,1915.75,4416.75,32344.0,2019-01-01 13:00:00,1561.0413488545696,2019,1,1,13,1
14,49311.0,0.0,1184.25,4386.75,33018.5,2019-01-01 14:00:00,1570.9302593552693,2019,1,1,14,1
15,49233.75,-0.03,367.25,4388.75,33692.5,2019-01-01 15:00:00,1537.101279984003,2019,1,1,15,1
16,50872.0,1.97,19.25,4334.75,34378.25,2019-01-01 16:00:00,1552.0593480521234,2019,1,1,16,1
17,53857.5,9.06,0.0,4224.75,35066.0,2019-01-01 17:00:00,1040.8139287701963,2019,1,1,17,1
18,54770.0,0.07,0.0,4086.25,35777.5,2019-01-01 18:00:00,1011.9611465318304,2019,1,1,18,1
19,53436.0,-4.97,0.0,4010.5,36267.75,2019-01-01 19:00:00,1031.5229945173803,2019,1,1,19,1
20,50873.5,-6.98,0.0,3924.75,36429.75,2019-01-01 20:00:00,1015.4323209886076,2019,1,1,20,1
21,49294.75,-24.93,0.0,3859.5,36564.75,2019-01-01 21:00:00,1019.5383793655012,2019,1,1,21,1
22,48485.5,-4.87,0.0,3921.5,35906.5,2019-01-01 22:00:00,1039.5104291558848,2019,1,1,22,1
23,45318.75,-28.93,0.0,4000.75,35527.25,2019-01-01 23:00:00,1045.0185781268738,2019,1,1,23,1
24,42466.75,-33.57,0.0,4185.75,34192.25,2019-01-02 00:00:00,1026.992114683239,2019,1,2,0,2
25,41189.25,-45.92,0.0,4289.75,33957.0,2019-01-02 01:00:00,1000.9798531160666,2019,1,2,1,2
26,40431.0,-48.29,0.0,4408.25,33658.75,2019-01-02 02:00:00,1024.9816379606418,2019,1,2,2,2
27,40779.75,-44.99,0.0,4563.75,33062.25,2019-01-02 03:00:00,1031.569680254192,2019,1,2,3,2
28,42270.5,-48.93,0.0,4711.0,32396.5,2019-01-02 04:00:00,1028.6189935627017,2019,1,2,4,2
29,45672.25,-29.91,0.0,4822.0,31750.5,2019-01-02 05:00:00,1028.5173454553192,2019,1,2,5,2
30,53071.5,-0.01,0.0,4880.5,31599.25,2019-01-02 06:00:00,1049.6179927413095,2019,1,2,6,2
31,58398.0,37.43,0.0,4884.75,30650.75,2019-01-02 07:00:00,1042.7059775800135,2019,1,2,7,2
32,60582.75,48.06,139.5,4868.5,29324.5,2019-01-02 08:00:00,1504.7030832528733,2019,1,2,8,2
33,60931.5,50.74,1499.75,4876.75,28210.5,2019-01-02 09:00:00,1513.125589520518,2019,1,2,9,2
34,62214.25,47.57,3934.25,4824.75,27793.5,2019-01-02 10:00:00,1517.3722618875097,2019,1,2,10,2
35,63263.75,43.94,5856.0,4751.5,27971.5,2019-01-02 11:00:00,1550.9636166823009,2019,1,2,11,2
36,63137.25,40.97,6487.5,4315.75,27713.0,2019-01-02 12:00:00,1353.7681383511783,2019,1,2,12,2
37,62527.5,44.95,5687.0,3959.0,26844.75,2019-01-02 13:00:00,1528.3151140188909,2019,1,2,13,2
38,61100.75,49.64,3676.75,3716.75,24910.25,2019-01-02 14:00:00,1523.7332709011184,2019,1,2,14,2
39,60835.75,53.67,1241.5,3535.0,22281.0,2019-01-02 15:00:00,1553.096681203504,2019,1,2,15,2
40,61779.5,56.01,62.5,3448.25,20094.25,2019-01-02 16:00:00,1529.8819843410172,2019,1,2,16,2
41,63372.0,56.95,0.0,3428.0,18632.25,2019-01-02 17:00:00,1034.7745072665557,2019,1,2,17,2
42,63479.75,62.08,0.0,3403.5,17502.0,2019-01-02 18:00:00,1029.095221837567,2019,1,2,18,2
43,62322.75,62.11,0.0,3383.0,16376.25,2019-01-02 19:00:00,1004.8121943761764,2019,1,2,19,2
44,58394.5,57.99,0.0,3384.0,15145.0,2019-01-02 20:00:00,1043.2126059754826,2019,1,2,20,2
45,55623.0,55.64,0.0,3419.5,13989.25,2019-01-02 21:00:00,1013.9911045369844,2019,1,2,21,2
46,52899.25,55.13,0.0,3493.5,12937.5,2019-01-02 22:00:00,1015.2551984037586,2019,1,2,22,2
47,48577.5,50.76,0.0,3607.75,12375.0,2019-01-02 23:00:00,1030.2166866132927,2019,1,2,23,2
48,47862.75,42.91,0.0,3879.5,11456.5,2019-01-03 00:00:00,1038.8777351384877,2019,1,3,0,3
49,46301.5,45.22,0.0,3976.25,11302.25,2019-01-03 01:00:00,1003.0579320077782,2019,1,3,1,3
50,45666.5,45.63,0.0,3986.75,11239.0,2019-01-03 02:00:00,1008.7550418065182,2019,1,3,2,3
51,45873.25,44.0,0.0,3993.5,11383.5,2019-01-03 03:00:00,1012.4908217438384,2019,1,3,3,3
