,1,2,3,4,5,6,7,8,9,10
0,28.32,28.32,28.32,41.88,50.87,41.88,41.88,50.05,28.32,-3.73
1,10.07,10.07,10.07,38.6,48.19,38.6,38.6,41.33,10.07,-15.75
2,-4.08,-4.08,-4.08,36.55,44.68,36.55,36.55,43.22,-4.08,-29.9325
3,-9.91,-9.91,-9.91,32.32,42.92,32.32,32.32,45.46,-9.91,-29.9325
4,-7.41,-7.41,-7.41,30.85,40.39,30.85,30.85,37.67,-7.41,-29.925
5,-12.55,-12.55,-12.55,30.14,40.2,30.14,30.14,39.7,-12.55,-22.2325
6,-17.25,-17.25,-17.25,30.17,39.63,30.17,30.17,40.59,-17.25,-19.5
7,-15.07,-15.07,-15.07,30.0,40.09,30.0,30.0,43.26,-15.07,-18.0
8,-4.93,-4.93,-4.93,30.65,41.27,30.65,30.65,49.66,-4.93,-21.1475
9,-6.33,-6.33,-6.33,30.65,44.88,30.65,30.65,70.05,-6.33,0.5475
10,-4.93,-4.93,-4.93,30.27,45.0,30.27,30.27,76.79,-4.93,0.4125
11,0.45,0.45,0.45,30.34,47.2,30.34,30.34,84.1,0.45,0.4425
12,0.12,0.12,0.12,30.99,50.78,30.99,30.99,94.74,0.12,8.99
13,-0.02,-0.02,-0.02,30.04,45.49,30.04,30.04,96.8,-0.02,11.6375
14,0.0,0.0,0.0,30.75,44.73,30.75,30.75,97.17,0.0,19.6275
15,-0.03,-0.03,-0.03,32.11,46.59,32.11,32.11,101.0,-0.03,45.375
16,1.97,1.97,1.97,35.98,52.99,35.98,35.98,126.6,1.97,47.39
17,9.06,9.06,9.06,40.4,60.26,40.4,40.4,149.97,9.06,97.56
18,0.07,0.07,0.07,44.05,60.61,44.05,44.05,146.33,0.07,102.525
19,-4.97,-4.97,-4.97,43.15,60.36,43.15,43.15,140.28,-4.97,71.715
20,-6.98,-6.98,-6.98,43.45,57.4,43.45,43.45,121.88,-6.98,46.79
21,-24.93,-24.93,-24.93,40.68,53.86,40.68,40.68,102.61,-24.93,41.0025
22,-4.87,-4.87,-4.87,40.27,53.45,40.27,40.27,97.46,-4.87,32.4725
23,-28.93,-28.93,-28.93,34.85,49.72,34.85,34.85,85.16,-28.93,23.7025
24,-33.57,-33.57,-33.57,35.4,46.69,35.4,35.4,57.08,-33.57,15.0
25,-45.92,-45.92,-45.92,31.98,42.43,31.98,31.98,52.59,-45.92,4.865
26,-48.29,-48.29,-48.29,30.5,41.09,30.5,30.5,48.97,-48.29,1.2925
27,-44.99,-44.99,-44.99,28.79,40.0,28.79,28.79,34.94,-44.99,1.65
28,-48.93,-48.93,-48.93,28.42,37.55,28.42,28.42,29.56,-48.93,11.9975
29,-29.91,-29.91,-29.91,28.75,39.0,28.75,28.75,33.97,-29.91,70.6425
30,-0.01,-0.01,-0.01,34.16,42.09,34.16,34.16,34.52,-0.01,95.0325
31,37.43,37.43,37.43,42.07,44.96,42.07,42.07,41.8,37.43,136.05
32,48.06,48.06,48.06,44.89,48.45,44.89,44.89,48.95,48.06,118.4175
33,50.74,50.74,50.74,45.26,52.0,45.26,45.26,60.01,50.74,116.025
34,47.57,47.57,47.57,45.57,52.0,45.57,45.57,70.09,47.57,120.625
35,43.94,43.94,43.94,45.09,52.15,45.09,45.09,66.26,43.94,89.9975
36,40.97,40.97,40.97,45.16,55.95,45.16,45.16,64.54,40.97,104.92
37,44.95,44.95,44.95,44.9,52.0,44.9,44.9,46.96,44.95,109.075
38,49.64,49.64,49.64,44.06,50.69,44.06,44.06,40.01,49.64,109.2625
39,53.67,53.67,53.67,44.84,53.45,44.84,44.84,29.11,53.67,109.9975
40,56.01,56.01,56.01,44.4,59.99,44.4,44.4,32.76,56.01,145.485
41,56.95,56.95,56.95,46.05,62.0,46.05,46.05,42.97,56.95,148.99
42,62.08,62.08,62.08,46.72,63.08,46.72,46.72,60.96,62.08,143.2275
43,62.11,62.11,62.11,45.26,62.17,45.26,45.26,60.94,62.11,135.0
44,57.99,57.99,57.99,39.32,60.03,39.32,39.32,54.12,57.99,147.7075
45,55.64,55.64,55.64,34.06,55.03,34.06,34.06,46.16,55.64,118.36
46,55.13,55.13,55.13,32.22,52.25,32.22,32.22,46.29,55.13,105.0
47,50.76,50.76,50.76,24.99,48.45,24.99,24.99,32.93,50.76,89.9975
48,42.91,42.91,42.91,21.47,46.11,21.47,21.47,0.31,42.91,110.0525
49,45.22,45.22,45.22,13.04,43.0,13.04,13.04,-0.01,45.22,105.83
50,45.63,45.63,45.63,1.53,39.55,1.53,1.53,-0.07,45.63,95.9925
51,44.0,44.0,44.0,0.14,35.18,0.14,0.14,-1.05,44.0,96.125
52,43.88,43.88,43.88,0.85,33.45,0.85,0.85,-1.0,43.88,101.8275
53,45.92,45.92,45.92,9.92,32.37,9.92,9.92,0.32,45.92,125.9
54,51.07,51.07,51.07,24.48,31.7,24.48,24.48,37.55,51.07,155.0
55,52.77,52.77,52.77,26.68,32.63,26.68,26.68,88.76,52.77,187.0725
56,62.89,62.89,62.89,28.81,36.9,28.81,28.81,122.93,62.89,176.995
57,60.03,60.03,60.03,29.28,36.96,29.28,29.28,110.17,60.03,188.545
58,58.19,58.19,58.19,28.85,36.96,28.85,28.85,93.38,58.19,183.0325
59,62.99,62.99,62.99,31.8,43.72,31.8,31.8,90.73,62.99,175.98
60,63.52,63.52,63.52,37.94,47.71,37.94,37.94,82.37,63.52,168.36
61,64.67,64.67,64.67,37.9,40.41,37.9,37.9,80.9,64.67,162.74
62,65.24,65.24,65.24,38.11,39.66,38.11,38.11,80.99,65.24,166.1075
63,67.76,67.76,67.76,37.91,39.57,37.91,37.91,98.05,67.76,171.6975
64,68.41,68.41,68.41,38.44,36.11,38.44,38.44,123.51,68.41,172.845
65,69.55,69.55,69.55,40.47,45.04,40.47,40.47,148.49,69.55,183.0025
66,67.28,67.28,67.28,41.35,52.56,41.35,41.35,138.0,67.28,170.2675
67,69.46,69.46,69.46,33.37,45.84,33.37,33.37,117.64,69.46,141.315
68,68.38,68.38,68.38,28.89,35.83,28.89,28.89,117.71,68.38,141.36
69,61.72,61.72,61.72,27.7,33.31,27.7,27.7,95.95,61.72,132.0
70,53.72,53.72,53.72,25.7,34.98,25.7,25.7,105.68,53.72,110.6775
71,49.98,49.98,49.98,22.04,27.39,22.04,22.04,95.26,49.98,73.6375
72,50.73,50.73,50.73,22.9,29.33,22.9,22.9,103.7,50.73,51.83
73,47.11,47.11,47.11,15.95,24.82,15.95,15.95,108.27,47.11,36.1725
